Network,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
Network 1,-100.0,70.0,-50.0,-80.0,43.00000000000029,17.80000000000023,34.00000000000027,-70.0
Network 2,-100.0,26.0,-40.0,-90.0,19.600000000000236,35.800000000000274,-50.0,-50.0
Network 3,-70.0,64.0,-60.0,-70.0,64.60000000000034,32.200000000000266,-20.0,-70.0
Network 4,-100.0,34.0,-70.0,-80.0,40.000000000000284,43.00000000000029,-20.0,-30.0
Network 5,-90.0,48.0,-90.0,-80.0,48.400000000000304,41.80000000000029,-60.0,28.600000000000257
Network 6,-100.0,28.0,-70.0,-80.0,34.00000000000027,25.60000000000025,-60.0,-60.0
Network 7,-100.0,84.0,-90.0,-90.0,52.00000000000032,27.400000000000254,30.40000000000026,29.80000000000026
Network 8,-80.0,50.0,-70.0,-70.0,59.80000000000033,17.20000000000023,4.600000000000234,23.200000000000244
Network 9,-80.0,20.0,-40.0,-50.0,54.40000000000032,29.200000000000262,-90.0,-60.0
Network 10,-90.0,80.0,-50.0,-60.0,54.40000000000032,25.60000000000025,31.000000000000263,-70.0
