Network,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
Network 1,-90.0,70.0,-80.0,-70.0,11.20000000000023,49.000000000000306,-30.0,37.60000000000028
Network 2,-90.0,70.0,-70.0,-90.0,-10.0,48.400000000000304,6.400000000000233,47.2000000000003
Network 3,-90.0,48.0,-70.0,-90.0,-60.0,53.200000000000315,-10.0,30.40000000000026
Network 4,-90.0,54.0,-80.0,-60.0,-40.0,38.20000000000028,-80.0,32.80000000000027
Network 5,-90.0,62.0,-30.0,-20.0,61.00000000000033,21.40000000000024,0.40000000000023406,30.40000000000026
Network 6,-100.0,70.0,-80.0,-90.0,-60.0,56.200000000000315,17.20000000000023,31.000000000000263
Network 7,-100.0,24.0,-70.0,-80.0,-37.99999999999976,46.0000000000003,-20.0,33.40000000000027
Network 8,-90.0,66.0,-70.0,-80.0,-40.0,28.000000000000256,23.800000000000246,50.80000000000031
Network 9,-80.0,28.0,-80.0,-60.0,58.60000000000033,37.60000000000028,38.80000000000028,53.200000000000315
Network 10,-100.0,64.0,-70.0,-60.0,14.200000000000227,5.800000000000233,-100.0,53.80000000000032
